,,,,,,,,,,,,,,,,,,,,,
Row_Label,Q1,Confid-1,ECR-1,CECR-1,Q2,Confid-2,ECR-2,CECR-2,Q3,Confid-3,ECR-3,CECR-3,,Brier-Q1,Brier-ECR1,Brier-Q2,Brier-ECR2,Brier-Q3,Brier-ECR3,Row Brier,Row ACC
Dat-2I Gemini,1,100%,1,100%,1,100%,1,100%,1,90%,1,100%,Dat-2I Gemini,0,0,0,0,0.01,0,0.001667,1
Par-2I Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-2I Gemini,0,0,0,0,0.0025,0,0.000417,1
Vis-2J Claude,1,45%,1,85%,1,88%,1,97%,1,72%,1,95%,Vis-2J Claude,0.3025,0.0225,0.0144,0.0009,0.0784,0.0025,0.070200,1
Dat-2J Claude,1,99%,1,99%,1,97%,1,99%,1,52%,1,92%,Dat-2J Claude,0.0001,0.0001,0.0009,0.0001,0.2304,0.0064,0.039667,1
Par-2J Claude,1,99%,1,99%,1,98%,1,99%,0,62%,1,97%,Par-2J Claude,0.0001,0.0001,0.0004,0.0001,0.3844,0.0009,0.064333,0.8333333333
Vis-2J GPT,1,78%,1,93%,1,95%,1,98%,1,91%,1,95%,Vis-2J GPT,0.0484,0.0049,0.0025,0.0004,0.0081,0.0025,0.011133,1
Dat-2J GPT,1,100%,1,100%,1,98%,1,97%,1,96%,1,98%,Dat-2J GPT,0,0,0.0004,0.0009,0.0016,0.0004,0.000550,1
Par-2J GPT,,,,,,,,,,,,,Par-2J GPT,0,0,0,0,0,0,0.000000,0
Vis-2J Gemini,1,95%,1,100%,1,100%,1,100%,0,100%,1,100%,Vis-2J Gemini,0.0025,0,0,0,1,0,0.167083,0.8333333333
Dat-2J Gemini,1,100%,1,100%,1,100%,1,100%,0,100%,1,100%,Dat-2J Gemini,0,0,0,0,1,0,0.166667,0.8333333333
Par-2J Gemini,1,100%,1,100%,1,100%,1,100%,0,100%,1,100%,Par-2J Gemini,0,0,0,0,1,0,0.166667,0.8333333333
Vis-3A Claude,1,40%,0,62%,1,92%,1,98%,0,72%,1,95%,Vis-3A Claude,0.36,0.3844,0.0064,0.0004,0.5184,0.0025,0.212017,0.6666666667
Dat-3A Claude,1,99%,1,99%,1,98%,1,99%,0,52%,1,99%,Dat-3A Claude,0.0001,0.0001,0.0004,0.0001,0.2704,0.0001,0.045200,0.8333333333
Par-3A Claude,1,99%,1,99%,1,98%,1,99%,0,52%,1,99%,Par-3A Claude,0.0001,0.0001,0.0004,0.0001,0.2704,0.0001,0.045200,0.8333333333
Vis-3A GPT,1,93%,1,92%,1,96%,1,98%,1,86%,1,99%,Vis-3A GPT,0.0049,0.0064,0.0016,0.0004,0.0196,0.0001,0.005500,1
Dat-3A GPT,1,100%,1,100%,1,99%,1,100%,1,96%,1,100%,Dat-3A GPT,0,0,0.0001,0,0.0016,0,0.000283,1
Par-3A GPT,1,100%,1,100%,1,99%,1,100%,1,95%,1,100%,Par-3A GPT,0,0,0.0001,0,0.0025,0,0.000433,1
Vis-3A Gemini,1,85%,1,100%,1,100%,1,100%,1,100%,1,100%,Vis-3A Gemini,0.0225,0,0,0,0,0,0.003750,1
Dat-3A Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-3A Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-3A Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-3A Gemini,0,0,0,0,0,0,0.000000,1
Vis-3B Claude,1,40%,1,90%,1,85%,1,97%,1,72%,1,95%,Vis-3B Claude,0.36,0.01,0.0225,0.0009,0.0784,0.0025,0.079050,1
Dat-3B Claude,1,99%,1,99%,1,82%,1,99%,1,78%,1,99%,Dat-3B Claude,0.0001,0.0001,0.0324,0.0001,0.0484,0.0001,0.013533,1
Par-3B Claude,1,99%,1,99%,1,82%,1,99%,1,82%,1,99%,Par-3B Claude,0.0001,0.0001,0.0324,0.0001,0.0324,0.0001,0.010867,1
Vis-3B GPT,1,83%,1,92%,1,94%,1,96%,1,87%,1,99%,Vis-3B GPT,0.0289,0.0064,0.0036,0.0016,0.0169,0.0001,0.009583,1
Dat-3B GPT,1,100%,1,100%,1,93%,1,99%,1,94%,1,99%,Dat-3B GPT,0,0,0.0049,0.0001,0.0036,0.0001,0.001450,1
Par-3B GPT,1,100%,1,100%,1,91%,1,100%,1,93%,1,99%,Par-3B GPT,0,0,0.0081,0,0.0049,0.0001,0.002183,1
Vis-3B Gemini,1,85%,1,100%,1,95%,1,100%,1,90%,1,100%,Vis-3B Gemini,0.0225,0,0.0025,0,0.01,0,0.005833,1
Dat-3B Gemini,1,100%,1,100%,1,95%,1,100%,0,95%,1,100%,Dat-3B Gemini,0,0,0.0025,0,0.9025,0,0.150833,0.8333333333
Par-3B Gemini,1,100%,1,100%,1,100%,1,100%,0,100%,1,100%,Par-3B Gemini,0,0,0,0,1,0,0.166667,0.8333333333
Vis-3C Claude,1,40%,1,75%,1,92%,1,97%,1,82%,1,90%,Vis-3C Claude,0.36,0.0625,0.0064,0.0009,0.0324,0.01,0.078700,1
Dat-3C Claude,1,99%,1,99%,1,92%,1,99%,1,82%,1,98%,Dat-3C Claude,0.0001,0.0001,0.0064,0.0001,0.0324,0.0004,0.006583,1
Par-3C Claude,1,99%,1,99%,1,97%,1,99%,1,88%,1,99%,Par-3C Claude,0.0001,0.0001,0.0009,0.0001,0.0144,0.0001,0.002617,1
Vis-3C GPT,1,85%,1,92%,1,96%,1,99%,1,95%,1,98%,Vis-3C GPT,0.0225,0.0064,0.0016,0.0001,0.0025,0.0004,0.005583,1
Dat-3C GPT,1,100%,1,100%,1,96%,1,99%,1,92%,1,99%,Dat-3C GPT,0,0,0.0016,0.0001,0.0064,0.0001,0.001367,1
Par-3C GPT,1,100%,1,100%,1,96%,1,99%,1,94%,1,99%,Par-3C GPT,0,0,0.0016,0.0001,0.0036,0.0001,0.000900,1
Vis-3C Gemini,1,85%,1,100%,1,100%,1,100%,1,95%,1,100%,Vis-3C Gemini,0.0225,0,0,0,0.0025,0,0.004167,1
Dat-3C Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-3C Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-3C Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-3C Gemini,0,0,0,0,0.0025,0,0.000417,1
Vis-3D Claude,1,45%,1,80%,1,92%,1,99%,1,62%,1,99%,Vis-3D Claude,0.3025,0.04,0.0064,0.0001,0.1444,0.0001,0.082250,1
Dat-3D Claude,1,99%,1,99%,1,90%,1,98%,1,52%,1,95%,Dat-3D Claude,0.0001,0.0001,0.01,0.0004,0.2304,0.0025,0.040583,1
Par-3D Claude,1,99%,1,99%,1,97%,1,99%,1,72%,1,95%,Par-3D Claude,0.0001,0.0001,0.0009,0.0001,0.0784,0.0025,0.013683,1
Vis-3D GPT,1,95%,0,79%,1,96%,1,98%,0,88%,1,97%,Vis-3D GPT,0.0025,0.6241,0.0016,0.0004,0.7744,0.0009,0.233983,0.6666666667
Dat-3D GPT,1,100%,1,100%,1,98%,1,99%,1,92%,1,97%,Dat-3D GPT,0,0,0.0004,0.0001,0.0064,0.0009,0.001300,1
Par-3D GPT,1,100%,1,100%,1,98%,1,99%,1,84%,1,98%,Par-3D GPT,0,0,0.0004,0.0001,0.0256,0.0004,0.004417,1
Vis-3D Gemini,1,90%,1,100%,1,100%,1,100%,1,100%,1,100%,Vis-3D Gemini,0.01,0,0,0,0,0,0.001667,1
Dat-3D Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-3D Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-3D Gemini,1,100%,1,100%,1,100%,1,100%,1,90%,1,100%,Par-3D Gemini,0,0,0,0,0.01,0,0.001667,1
Vis-3E Claude,1,45%,1,92%,1,88%,1,97%,0,62%,1,98%,Vis-3E Claude,0.3025,0.0064,0.0144,0.0009,0.3844,0.0004,0.118167,0.8333333333
Dat-3E Claude,1,99%,1,99%,1,88%,1,92%,0,52%,1,97%,Dat-3E Claude,0.0001,0.0001,0.0144,0.0064,0.2704,0.0009,0.048717,0.8333333333
Par-3E Claude,1,99%,1,99%,1,90%,1,95%,0,72%,1,99%,Par-3E Claude,0.0001,0.0001,0.01,0.0025,0.5184,0.0001,0.088533,0.8333333333
Vis-3E GPT,1,86%,1,94%,1,95%,1,96%,0,82%,1,98%,Vis-3E GPT,0.0196,0.0036,0.0025,0.0016,0.6724,0.0004,0.116683,0.8333333333
Dat-3E GPT,1,100%,1,100%,1,95%,1,98%,1,82%,1,99%,Dat-3E GPT,0,0,0.0025,0.0004,0.0324,0.0001,0.005900,1
Par-3E GPT,1,100%,1,100%,1,95%,1,95%,1,74%,1,97%,Par-3E GPT,0,0,0.0025,0.0025,0.0676,0.0009,0.012250,1
Vis-3E Gemini,1,95%,1,100%,1,100%,1,100%,0,85%,1,100%,Vis-3E Gemini,0.0025,0,0,0,0.7225,0,0.120833,0.8333333333
Dat-3E Gemini,1,100%,1,100%,1,100%,1,100%,0,85%,1,100%,Dat-3E Gemini,0,0,0,0,0.7225,0,0.120417,0.8333333333
Par-3E Gemini,1,100%,1,100%,1,100%,1,100%,0,90%,1,100%,Par-3E Gemini,0,0,0,0,0.81,0,0.135000,0.8333333333
Vis-3F Claude,1,55%,1,72%,1,82%,1,97%,0,52%,1,92%,Vis-3F Claude,0.2025,0.0784,0.0324,0.0009,0.2704,0.0064,0.098500,0.8333333333
Dat-3F Claude,1,99%,1,99%,1,72%,1,92%,0,62%,1,85%,Dat-3F Claude,0.0001,0.0001,0.0784,0.0064,0.3844,0.0225,0.081983,0.8333333333
Par-3F Claude,1,99%,1,99%,1,72%,1,92%,0,72%,1,92%,Par-3F Claude,0.0001,0.0001,0.0784,0.0064,0.5184,0.0064,0.101633,0.8333333333
Vis-3F GPT,1,92%,1,95%,1,96%,1,96%,1,73%,1,97%,Vis-3F GPT,0.0064,0.0025,0.0016,0.0016,0.0729,0.0009,0.014317,1
Dat-3F GPT,1,100%,1,100%,1,93%,1,95%,1,86%,1,94%,Dat-3F GPT,0,0,0.0049,0.0025,0.0196,0.0036,0.005100,1
Par-3F GPT,1,100%,1,100%,1,89%,1,90%,1,72%,1,93%,Par-3F GPT,0,0,0.0121,0.01,0.0784,0.0049,0.017567,1
Vis-3F Gemini,1,95%,0,95%,1,100%,1,100%,0,95%,1,100%,Vis-3F Gemini,0.0025,0.9025,0,0,0.9025,0,0.301250,0.6666666667
Dat-3F Gemini,1,100%,1,100%,1,95%,1,100%,0,85%,1,100%,Dat-3F Gemini,0,0,0.0025,0,0.7225,0,0.120833,0.8333333333
Par-3F Gemini,1,100%,1,100%,0,100%,1,100%,0,95%,1,100%,Par-3F Gemini,0,0,1,0,0.9025,0,0.317083,0.6666666667
Vis-3G Claude,1,45%,1,90%,1,85%,1,92%,1,82%,1,97%,Vis-3G Claude,0.3025,0.01,0.0225,0.0064,0.0324,0.0009,0.062450,1
Dat-3G Claude,1,99%,1,99%,1,82%,1,97%,1,82%,1,90%,Dat-3G Claude,0.0001,0.0001,0.0324,0.0009,0.0324,0.01,0.012650,1
Par-3G Claude,1,99%,1,99%,1,72%,1,95%,1,88%,1,95%,Par-3G Claude,0.0001,0.0001,0.0784,0.0025,0.0144,0.0025,0.016333,1
Vis-3G GPT,1,84%,1,98%,1,95%,1,94%,1,88%,1,96%,Vis-3G GPT,0.0256,0.0004,0.0025,0.0036,0.0144,0.0016,0.008017,1
Dat-3G GPT,1,100%,1,100%,1,95%,1,97%,1,94%,1,98%,Dat-3G GPT,0,0,0.0025,0.0009,0.0036,0.0004,0.001233,1
Par-3G GPT,1,100%,1,100%,1,92%,1,98%,1,88%,1,96%,Par-3G GPT,0,0,0.0064,0.0004,0.0144,0.0016,0.003800,1
Vis-3G Gemini,1,95%,1,100%,1,100%,1,100%,1,100%,1,100%,Vis-3G Gemini,0.0025,0,0,0,0,0,0.000417,1
Dat-3G Gemini,1,100%,1,100%,1,95%,1,100%,1,100%,1,100%,Dat-3G Gemini,0,0,0.0025,0,0,0,0.000417,1
Par-3G Gemini,1,100%,1,100%,1,95%,1,100%,1,100%,1,100%,Par-3G Gemini,0,0,0.0025,0,0,0,0.000417,1
Vis-3H Claude,1,45%,1,85%,1,88%,1,97%,1,72%,1,92%,Vis-3H Claude,0.3025,0.0225,0.0144,0.0009,0.0784,0.0064,0.070850,1
Dat-3H Claude,1,99%,1,99%,1,92%,1,99%,1,52%,1,85%,Dat-3H Claude,0.0001,0.0001,0.0064,0.0001,0.2304,0.0225,0.043267,1
Par-3H Claude,1,99%,1,99%,1,92%,1,99%,1,55%,1,85%,Par-3H Claude,0.0001,0.0001,0.0064,0.0001,0.2025,0.0225,0.038617,1
Vis-3H GPT,0,78%,1,90%,1,95%,1,99%,0,85%,1,92%,Vis-3H GPT,0.6084,0.01,0.0025,0.0001,0.7225,0.0064,0.224983,0.6666666667
Dat-3H GPT,1,100%,1,100%,1,98%,1,99%,0,93%,1,98%,Dat-3H GPT,0,0,0.0004,0.0001,0.8649,0.0004,0.144300,0.8333333333
Par-3H GPT,1,100%,1,100%,1,98%,1,100%,0,94%,1,95%,Par-3H GPT,0,0,0.0004,0,0.8836,0.0025,0.147750,0.8333333333
Vis-3H Gemini,1,90%,1,100%,1,100%,1,100%,0,100%,1,100%,Vis-3H Gemini,0.01,0,0,0,1,0,0.168333,0.8333333333
Dat-3H Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-3H Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-3H Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-3H Gemini,0,0,0,0,0.0025,0,0.000417,1
Vis-3I Claude,0,45%,1,82%,1,85%,1,92%,0,55%,1,92%,Vis-3I Claude,0.2025,0.0324,0.0225,0.0064,0.3025,0.0064,0.095450,0.6666666667
Dat-3I Claude,1,99%,1,99%,1,92%,1,99%,1,82%,1,99%,Dat-3I Claude,0.0001,0.0001,0.0064,0.0001,0.0324,0.0001,0.006533,1
Par-3I Claude,1,99%,1,99%,,,1,99%,1,72%,1,99%,Par-3I Claude,0.0001,0.0001,0,0.0001,0.0784,0.0001,0.013133,0.8333333333
Vis-3I GPT,1,89%,1,88%,1,95%,1,98%,1,78%,1,98%,Vis-3I GPT,0.0121,0.0144,0.0025,0.0004,0.0484,0.0004,0.013033,1
Dat-3I GPT,1,100%,1,100%,1,96%,1,99%,1,82%,1,98%,Dat-3I GPT,0,0,0.0016,0.0001,0.0324,0.0004,0.005750,1
Par-3I GPT,1,100%,1,100%,1,97%,1,98%,1,82%,1,98%,Par-3I GPT,0,0,0.0009,0.0004,0.0324,0.0004,0.005683,1
Vis-3I Gemini,0,90%,1,100%,1,100%,1,100%,0,75%,1,100%,Vis-3I Gemini,0.81,0,0,0,0.5625,0,0.228750,0.6666666667
Dat-3I Gemini,1,100%,1,100%,1,100%,1,100%,1,85%,1,100%,Dat-3I Gemini,0,0,0,0,0.0225,0,0.003750,1
Par-3I Gemini,1,100%,1,100%,1,95%,1,100%,0,85%,1,100%,Par-3I Gemini,0,0,0.0025,0,0.7225,0,0.120833,0.8333333333
Vis-3J Claude,0,35%,1,85%,1,88%,1,97%,1,65%,1,97%,Vis-3J Claude,0.1225,0.0225,0.0144,0.0009,0.1225,0.0009,0.047283,0.8333333333
Dat-3J Claude,1,99%,1,99%,1,88%,1,97%,1,62%,1,97%,Dat-3J Claude,0.0001,0.0001,0.0144,0.0009,0.1444,0.0009,0.026800,1
Par-3J Claude,1,99%,1,99%,1,92%,1,98%,1,62%,1,99%,Par-3J Claude,0.0001,0.0001,0.0064,0.0004,0.1444,0.0001,0.025250,1
Vis-3J GPT,1,93%,1,95%,1,95%,1,92%,0,87%,1,99%,Vis-3J GPT,0.0049,0.0025,0.0025,0.0064,0.7569,0.0001,0.128883,0.8333333333
Dat-3J GPT,1,100%,1,100%,1,96%,1,97%,1,88%,1,99%,Dat-3J GPT,0,0,0.0016,0.0009,0.0144,0.0001,0.002833,1
Par-3J GPT,1,100%,1,100%,1,97%,1,98%,1,86%,1,99%,Par-3J GPT,0,0,0.0009,0.0004,0.0196,0.0001,0.003500,1
Vis-3J Gemini,0,90%,1,100%,1,100%,1,100%,0,95%,1,100%,Vis-3J Gemini,0.81,0,0,0,0.9025,0,0.285417,0.6666666667
Dat-3J Gemini,1,100%,1,100%,1,100%,1,100%,1,85%,1,100%,Dat-3J Gemini,0,0,0,0,0.0225,0,0.003750,1
Par-3J Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-3J Gemini,0,0,0,0,0.0025,0,0.000417,1
Vis-4A Claude,1,35%,1,65%,1,72%,1,82%,1,42%,1,75%,Vis-4A Claude,0.4225,0.1225,0.0784,0.0324,0.3364,0.0625,0.175783,1
Dat-4A Claude,1,99%,1,99%,1,82%,1,97%,1,62%,1,95%,Dat-4A Claude,0.0001,0.0001,0.0324,0.0009,0.1444,0.0025,0.030067,1
Par-4A Claude,1,99%,1,99%,1,88%,1,97%,1,72%,1,97%,Par-4A Claude,0.0001,0.0001,0.0144,0.0009,0.0784,0.0009,0.015800,1
Vis-4A GPT,0,72%,1,89%,1,87%,1,91%,1,68%,1,94%,Vis-4A GPT,0.5184,0.0121,0.0169,0.0081,0.1024,0.0036,0.110250,0.8333333333
Dat-4A GPT,1,100%,1,100%,1,95%,1,88%,1,72%,1,98%,Dat-4A GPT,0,0,0.0025,0.0144,0.0784,0.0004,0.015950,1
Par-4A GPT,1,100%,1,100%,1,92%,1,94%,1,72%,1,99%,Par-4A GPT,0,0,0.0064,0.0036,0.0784,0.0001,0.014750,1
Vis-4A Gemini,0,100%,1,100%,1,95%,1,95%,1,90%,1,100%,Vis-4A Gemini,1,0,0.0025,0.0025,0.01,0,0.169167,0.8333333333
Dat-4A Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-4A Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-4A Gemini,1,100%,1,100%,1,100%,1,100%,1,85%,1,100%,Par-4A Gemini,0,0,0,0,0.0225,0,0.003750,1
Vis-4B Claude,1,72%,1,82%,1,65%,1,90%,0,82%,1,65%,Vis-4B Claude,0.0784,0.0324,0.1225,0.01,0.6724,0.1225,0.173033,0.8333333333
Dat-4B Claude,1,99%,1,90%,1,82%,1,95%,1,97%,1,95%,Dat-4B Claude,0.0001,0.01,0.0324,0.0025,0.0009,0.0025,0.008067,1
Par-4B Claude,1,99%,1,85%,1,72%,1,95%,1,97%,1,97%,Par-4B Claude,0.0001,0.0225,0.0784,0.0025,0.0009,0.0009,0.017550,1
Vis-4B GPT,1,88%,1,90%,1,72%,1,95%,1,74%,1,96%,Vis-4B GPT,0.0144,0.01,0.0784,0.0025,0.0676,0.0016,0.029083,1
Dat-4B GPT,1,100%,0,98%,1,83%,1,96%,1,98%,1,100%,Dat-4B GPT,0,0.9604,0.0289,0.0016,0.0004,0,0.165217,0.8333333333
Par-4B GPT,1,100%,1,95%,1,78%,1,96%,1,100%,1,96%,Par-4B GPT,0,0.0025,0.0484,0.0016,0,0.0016,0.009017,1
Vis-4B Gemini,1,95%,1,100%,1,100%,1,100%,0,100%,1,100%,Vis-4B Gemini,0.0025,0,0,0,1,0,0.167083,0.8333333333
Dat-4B Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Dat-4B Gemini,0,0,0,0,0,0,0.000000,1
Par-4B Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-4B Gemini,0,0,0,0,0,0,0.000000,1
Vis-4C Claude,1,55%,1,95%,1,72%,1,97%,0,62%,1,95%,Vis-4C Claude,0.2025,0.0025,0.0784,0.0009,0.3844,0.0025,0.111867,0.8333333333
Dat-4C Claude,1,99%,1,99%,1,82%,1,99%,0,62%,1,98%,Dat-4C Claude,0.0001,0.0001,0.0324,0.0001,0.3844,0.0004,0.069583,0.8333333333
Par-4C Claude,1,99%,1,99%,1,88%,1,99%,0,62%,1,99%,Par-4C Claude,0.0001,0.0001,0.0144,0.0001,0.3844,0.0001,0.066533,0.8333333333
Vis-4C GPT,1,85%,1,96%,1,95%,1,98%,1,89%,1,95%,Vis-4C GPT,0.0225,0.0016,0.0025,0.0004,0.0121,0.0025,0.006933,1
Dat-4C GPT,1,100%,1,100%,1,98%,1,99%,1,96%,1,99%,Dat-4C GPT,0,0,0.0004,0.0001,0.0016,0.0001,0.000367,1
Par-4C GPT,1,100%,1,100%,1,96%,1,99%,0,95%,1,99%,Par-4C GPT,0,0,0.0016,0.0001,0.9025,0.0001,0.150717,0.8333333333
Vis-4C Gemini,1,90%,1,100%,1,95%,1,100%,0,100%,1,100%,Vis-4C Gemini,0.01,0,0.0025,0,1,0,0.168750,0.8333333333
Dat-4C Gemini,1,100%,1,100%,1,100%,1,100%,0,95%,1,100%,Dat-4C Gemini,0,0,0,0,0.9025,0,0.150417,0.8333333333
Par-4C Gemini,1,100%,1,100%,1,95%,1,100%,0,100%,1,100%,Par-4C Gemini,0,0,0.0025,0,1,0,0.167083,0.8333333333
Vis-4D Claude,0,45%,1,95%,1,42%,1,92%,0,42%,1,70%,Vis-4D Claude,0.2025,0.0025,0.3364,0.0064,0.1764,0.09,0.135700,0.6666666667
Dat-4D Claude,1,99%,1,99%,1,62%,1,99%,0,52%,1,82%,Dat-4D Claude,0.0001,0.0001,0.1444,0.0001,0.2704,0.0324,0.074583,0.8333333333
Par-4D Claude,1,99%,1,99%,1,62%,1,99%,1,42%,1,88%,Par-4D Claude,0.0001,0.0001,0.1444,0.0001,0.3364,0.0144,0.082583,1
Vis-4D GPT,1,92%,1,77%,1,78%,1,98%,0,88%,1,92%,Vis-4D GPT,0.0064,0.0529,0.0484,0.0004,0.7744,0.0064,0.148150,0.8333333333
Dat-4D GPT,1,100%,1,100%,1,92%,1,99%,0,88%,1,96%,Dat-4D GPT,0,0,0.0064,0.0001,0.7744,0.0016,0.130417,0.8333333333
Par-4D GPT,1,100%,1,100%,1,95%,1,99%,0,78%,1,98%,Par-4D GPT,0,0,0.0025,0.0001,0.6084,0.0004,0.101900,0.8333333333
Vis-4D Gemini,0,100%,1,100%,0,85%,1,100%,0,100%,1,100%,Vis-4D Gemini,1,0,0.7225,0,1,0,0.453750,0.5
Dat-4D Gemini,1,100%,1,100%,1,85%,1,100%,0,85%,1,100%,Dat-4D Gemini,0,0,0.0225,0,0.7225,0,0.124167,0.8333333333
Par-4D Gemini,1,100%,1,100%,1,95%,1,100%,0,75%,1,100%,Par-4D Gemini,0,0,0.0025,0,0.5625,0,0.094167,0.8333333333
Vis-4E Claude,1,45%,1,72%,1,72%,1,88%,1,62%,1,95%,Vis-4E Claude,0.3025,0.0784,0.0784,0.0144,0.1444,0.0025,0.103433,1
Dat-4E Claude,1,99%,0,99%,1,82%,1,99%,1,62%,1,97%,Dat-4E Claude,0.0001,0.9801,0.0324,0.0001,0.1444,0.0009,0.193000,0.8333333333
Par-4E Claude,1,99%,1,99%,1,82%,1,99%,1,52%,1,95%,Par-4E Claude,0.0001,0.0001,0.0324,0.0001,0.2304,0.0025,0.044267,1
Vis-4E GPT,1,86%,1,88%,1,88%,1,95%,1,80%,1,97%,Vis-4E GPT,0.0196,0.0144,0.0144,0.0025,0.04,0.0009,0.015300,1
Dat-4E GPT,1,100%,1,97%,1,96%,1,98%,1,72%,1,99%,Dat-4E GPT,0,0.0009,0.0016,0.0004,0.0784,0.0001,0.013567,1
Par-4E GPT,1,100%,1,98%,1,96%,1,98%,0,72%,1,94%,Par-4E GPT,0,0.0004,0.0016,0.0004,0.5184,0.0036,0.087400,0.8333333333
Vis-4E Gemini,1,85%,1,100%,0,90%,1,100%,1,95%,1,100%,Vis-4E Gemini,0.0225,0,0.81,0,0.0025,0,0.139167,0.8333333333
Dat-4E Gemini,1,100%,0,100%,1,100%,1,100%,1,85%,1,100%,Dat-4E Gemini,0,1,0,0,0.0225,0,0.170417,0.8333333333
Par-4E Gemini,1,100%,0,100%,0,100%,1,100%,0,95%,1,100%,Par-4E Gemini,0,1,1,0,0.9025,0,0.483750,0.5
Vis-4F Claude,1,45%,1,95%,1,72%,1,97%,1,62%,1,97%,Vis-4F Claude,0.3025,0.0025,0.0784,0.0009,0.1444,0.0009,0.088267,1
Dat-4F Claude,1,99%,1,99%,0,92%,1,99%,0,62%,1,92%,Dat-4F Claude,0.0001,0.0001,0.8464,0.0001,0.3844,0.0064,0.206250,0.6666666667
Par-4F Claude,1,99%,1,99%,1,88%,1,99%,1,62%,1,92%,Par-4F Claude,0.0001,0.0001,0.0144,0.0001,0.1444,0.0064,0.027583,1
Vis-4F GPT,1,86%,1,90%,1,90%,1,99%,1,81%,1,95%,Vis-4F GPT,0.0196,0.01,0.01,0.0001,0.0361,0.0025,0.013050,1
Dat-4F GPT,1,100%,1,100%,1,97%,1,100%,0,90%,1,97%,Dat-4F GPT,0,0,0.0009,0,0.81,0.0009,0.135300,0.8333333333
Par-4F GPT,1,100%,1,100%,1,95%,1,100%,0,88%,1,96%,Par-4F GPT,0,0,0.0025,0,0.7744,0.0016,0.129750,0.8333333333
Vis-4F Gemini,1,95%,1,100%,0,85%,1,100%,1,85%,1,100%,Vis-4F Gemini,0.0025,0,0.7225,0,0.0225,0,0.124583,0.8333333333
Dat-4F Gemini,1,100%,1,100%,0,100%,1,100%,0,95%,1,100%,Dat-4F Gemini,0,0,1,0,0.9025,0,0.317083,0.6666666667
Par-4F Gemini,1,100%,1,100%,0,95%,1,100%,0,90%,1,95%,Par-4F Gemini,0,0,0.9025,0,0.81,0.0025,0.285833,0.6666666667
Vis-4G Claude,1,55%,1,82%,1,72%,1,97%,1,62%,1,97%,Vis-4G Claude,0.2025,0.0324,0.0784,0.0009,0.1444,0.0009,0.076583,1
Dat-4G Claude,1,99%,1,99%,1,88%,1,98%,1,42%,1,98%,Dat-4G Claude,0.0001,0.0001,0.0144,0.0004,0.3364,0.0004,0.058633,1
Par-4G Claude,1,99%,1,99%,1,92%,1,99%,1,52%,1,99%,Par-4G Claude,0.0001,0.0001,0.0064,0.0001,0.2304,0.0001,0.039533,1
Vis-4G GPT,1,87%,1,90%,1,96%,1,98%,0,72%,1,97%,Vis-4G GPT,0.0169,0.01,0.0016,0.0004,0.5184,0.0009,0.091367,0.8333333333
Dat-4G GPT,1,100%,1,100%,1,96%,1,98%,1,93%,1,99%,Dat-4G GPT,0,0,0.0016,0.0004,0.0049,0.0001,0.001167,1
Par-4G GPT,1,100%,1,100%,1,96%,1,99%,1,91%,1,99%,Par-4G GPT,0,0,0.0016,0.0001,0.0081,0.0001,0.001650,1
Vis-4G Gemini,1,90%,1,100%,1,95%,1,100%,1,90%,1,100%,Vis-4G Gemini,0.01,0,0.0025,0,0.01,0,0.003750,1
Dat-4G Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-4G Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-4G Gemini,1,100%,1,100%,1,100%,1,100%,1,90%,1,100%,Par-4G Gemini,0,0,0,0,0.01,0,0.001667,1
Vis-4H Claude,0,40%,1,72%,1,62%,1,99%,1,62%,1,62%,Vis-4H Claude,0.16,0.0784,0.1444,0.0001,0.1444,0.1444,0.111950,0.8333333333
Dat-4H Claude,1,99%,1,97%,1,72%,1,99%,1,72%,1,85%,Dat-4H Claude,0.0001,0.0009,0.0784,0.0001,0.0784,0.0225,0.030067,1
Par-4H Claude,1,99%,1,99%,1,72%,1,99%,1,72%,1,85%,Par-4H Claude,0.0001,0.0001,0.0784,0.0001,0.0784,0.0225,0.029933,1
